gene	population	confidence_level	prevalence_estimated_perMillon	lowerBound_CI	upperBound_CI
ANO5	All	0.95	89.54818	81.81834	97.53315
ANO5	EUR	0.95	87.34083	77.12315	98.02126
ANO5	FIN	0.95	60.7101	44.65343	78.52276
ANO5	NFE	0.95	93.85146	81.7553	106.5542
CAPN3	All	0.95	301.1219	282.025	320.6775
CAPN3	EUR	0.95	182.6943	165.9203	200.0584
CAPN3	FIN	0.95	12.73686	7.790804	18.53004
CAPN3	NFE	0.95	242.009	219.2203	265.6207
DYSF	All	0.95	648.5573	614.5361	683.2518
DYSF	EUR	0.95	356.916	327.8687	386.8654
DYSF	FIN	0.95	55.53425	40.1897	72.64208
DYSF	NFE	0.95	451.9243	413.4993	491.5978
FKRP	All	0.95	36.67974	31.58392	42.05216
FKRP	EUR	0.95	22.36496	17.42872	27.7425
FKRP	FIN	0.95	15.52109	5.902431	28.21154
FKRP	NFE	0.95	23.62766	18.20193	29.56013
SGCA	All	0.95	149.4979	138.367	160.9442
SGCA	EUR	0.95	106.7102	95.72376	118.1319
SGCA	FIN	0.95	156.8576	123.8445	192.672
SGCA	NFE	0.95	97.72905	86.32379	109.6495
SGCB	All	0.95	7.966864	6.391533	9.667058
SGCB	EUR	0.95	5.820676	4.414706	7.365547
SGCB	FIN	0.95	3.706888	1.852783	5.99886
SGCB	NFE	0.95	6.348802	4.667519	8.214218
SGCD	All	0.95	4.843199	3.929633	5.825559
SGCD	EUR	0.95	3.154622	2.28628	4.122318
SGCD	FIN	0.95	2.380204	0.3507771	5.563773
SGCD	NFE	0.95	3.349385	2.505107	4.28114
SGCG	All	0.95	11.87475	10.27399	13.55968
SGCG	EUR	0.95	4.375401	3.350011	5.498743
SGCG	FIN	0.95	0.9397197	0.305054	1.806147
SGCG	NFE	0.95	5.441816	4.107341	6.910369
TCAP	All	0.95	28.6582	25.71938	31.713
TCAP	EUR	0.95	12.77294	10.62943	15.05875
TCAP	FIN	0.95	0.2884361	0.04631623	0.6633754
TCAP	NFE	0.95	17.3565	14.4137	20.49681
