gene	population	confidence_level	prevalence_estimated_perMillon	lowerBound_CI	upperBound_CI
ANO5	All	0.95	32.52277	28.83173	36.37575
ANO5	EUR	0.95	43.09301	37.12417	49.38482
ANO5	FIN	0.95	43.2068	30.84735	57.04369
ANO5	NFE	0.95	43.3527	36.60489	50.51381
CAPN3	All	0.95	216.2846	201.271	231.694
CAPN3	EUR	0.95	61.10241	53.51578	69.0548
CAPN3	FIN	0.95	6.24376	3.377256	9.715489
CAPN3	NFE	0.95	79.42704	69.23925	90.12311
DYSF	All	0.95	1141.594	1092.153	1191.84
DYSF	EUR	0.95	1193.805	1126.236	1262.819
DYSF	FIN	0.95	807.5495	694.5489	926.7307
DYSF	NFE	0.95	1283.62	1204.393	1364.698
FKRP	All	0.95	9.787148	7.689474	12.0664
FKRP	EUR	0.95	9.415845	6.579894	12.61145
FKRP	FIN	0.95	9.154731	2.49972	18.56031
FKRP	NFE	0.95	9.421454	6.427101	12.81993
SGCA	All	0.95	83.09668	75.86565	90.56836
SGCA	EUR	0.95	52.69248	46.16684	59.53188
SGCA	FIN	0.95	50.59738	36.60591	66.19808
SGCA	NFE	0.95	53.21408	45.93191	60.88527
SGCB	All	0.95	1.111344	0.648935	1.659974
SGCB	EUR	0.95	0.7200493	0.3713547	1.147648
SGCB	FIN	0.95	0.07507552	0.001776841	0.2176861
SGCB	NFE	0.95	0.9470228	0.472158	1.534406
SGCD	All	0.95	2025.705	1953.944	2098.419
SGCD	EUR	0.95	3624.358	3478.514	3772.405
SGCD	FIN	0.95	1981.911	1752.257	2221.863
SGCD	NFE	0.95	4026.889	3854.95	4201.586
SGCG	All	0.95	1.342753	1.001839	1.719276
SGCG	EUR	0.95	0.7589424	0.4649775	1.1031
SGCG	FIN	0.95	0.3223145	0.05595555	0.7298053
SGCG	NFE	0.95	0.8940511	0.5236408	1.333162
TCAP	All	0.95	1.675892	1.33603	2.043444
TCAP	EUR	0.95	0.6299895	0.4168777	0.8740425
TCAP	FIN	0.95	0.02065127	0.0001118061	0.06944063
TCAP	NFE	0.95	0.8554673	0.56276	1.191248
